index,date,week,team,opp,crew,points,oYards,pYards,pCount,won,tDiff,penDiff,ptsDiff,ydsDiff,home,tie
1,1/1/2023,17,ATL,ARI,Alex Kemp,20,298,70,5,1,1,-3,1,-41,1,0
2,1/1/2023,17,DET,CHI,Adrian Hill,41,504,42,6,1,-2,3,31,274,1,0
3,1/1/2023,17,GB,MIN,Carl Cheffers,41,315,30,3,1,-4,-3,24,-31,1,0
4,1/1/2023,17,KC,DEN,Tra Blake,27,374,31,5,1,0,2,3,67,1,0
5,1/1/2023,17,LAC,LAR,Clete Blakeman,31,431,19,2,1,-1,-1,21,154,1,0
6,1/1/2023,17,NE,MIA,Brad Allen,23,249,39,6,1,-2,-3,2,-84,1,0
7,1/1/2023,17,NYG,IND,Craig Wrolstad,38,394,20,3,1,0,-4,28,142,1,0
8,1/1/2023,17,SEA,NYJ,Ron Torbert,23,346,25,5,1,-3,3,17,67,1,0
9,1/1/2023,17,TB,CAR,Brad Rogers,30,478,51,8,1,-2,0,6,78,1,0
10,1/7/2023,18,JAX,TEN,Bill Vinovich,20,222,25,4,1,-1,-2,4,-90,1,0
11,1/7/2024,18,CIN,CLE,Alan Eck,31,328,10,1,1,-1,-6,17,84,1,0
12,1/7/2024,18,DET,MIN,Brad Rogers,30,381,20,4,1,-2,-4,10,-67,1,0
13,1/7/2024,18,GB,CHI,Carl Cheffers,17,432,5,1,1,1,0,8,240,1,0
14,1/7/2024,18,LV,DEN,Shawn Hochuli,27,359,0,0,1,-1,-4,13,73,1,0
15,1/7/2024,18,NO,ATL,John Hussey,48,400,15,3,1,-3,-5,31,11,1,0
16,1/7/2024,18,NYG,PHI,Craig Wrolstad,27,415,21,3,1,-3,1,17,116,1,0
17,1/7/2024,18,TEN,JAX,Tra Blake,28,327,29,5,1,-1,-1,8,-35,1,0
18,1/8/2023,18,ATL,TB,Land Clark,30,382,18,2,1,0,-1,13,160,1,0
19,1/8/2023,18,BUF,NE,Clay Martin,35,327,20,2,1,0,0,12,-14,1,0
20,1/8/2023,18,CIN,BAL,Ron Torbert,27,257,35,3,1,-3,-2,11,-129,1,0
21,1/8/2023,18,DEN,LAC,Shawn Hochuli,31,471,36,3,1,0,-2,3,119,1,0
22,1/8/2023,18,MIA,NYJ,John Hussey,11,302,47,5,1,0,-1,5,115,1,0
23,1/8/2023,18,PHI,NYG,Carl Cheffers,22,342,30,4,1,1,-4,6,58,1,0
24,1/8/2023,18,PIT,CLE,Clete Blakeman,28,333,20,4,1,-1,-5,14,26,1,0
25,1/8/2023,18,SEA,LAR,Craig Wrolstad,19,402,20,4,1,1,1,3,133,1,0
26,1/8/2023,18,SF,ARI,Adrian Hill,38,311,10,2,1,-4,-5,25,56,1,0
27,1/8/2023,18,WAS,DAL,Tra Blake,26,309,10,2,1,-1,-4,20,127,1,0
28,10/1/2023,4,BUF,MIA,Adrian Hill,48,414,20,4,1,-2,-4,28,21,1,0
29,10/1/2023,4,DAL,NE,Scott Novak,38,377,32,5,1,-3,-1,35,124,1,0
30,10/1/2023,4,HOU,PIT,Bill Vinovich,30,451,63,8,1,-1,6,24,226,1,0
31,10/1/2023,4,JAX,ATL,Craig Wrolstad,23,300,25,3,1,-3,0,16,13,1,0
32,10/1/2023,4,LAC,LV,John Hussey,24,305,34,4,1,-2,-5,7,41,1,0
33,10/1/2023,4,PHI,WAS,Ron Torbert,34,415,81,11,1,0,4,3,50,1,0
34,10/1/2023,4,SF,ARI,Clete Blakeman,35,395,21,4,1,0,-5,19,33,1,0
35,10/1/2023,4,TEN,CIN,Shawn Smith,27,400,27,5,1,0,0,24,189,1,0
36,10/10/2022,5,KC,LV,Carl Cheffers,30,368,72,5,1,0,-6,1,-10,1,0
37,10/12/2023,6,KC,DEN,Shawn Hochuli,19,389,84,7,1,-2,4,11,192,1,0
38,10/15/2023,6,BUF,NYG,Tra Blake,14,297,51,7,1,2,-2,5,-20,1,0
39,10/15/2023,6,CIN,SEA,Adrian Hill,17,214,43,5,1,-1,-2,4,-170,1,0
40,10/15/2023,6,CLE,SF,John Hussey,19,334,119,13,1,1,1,2,119,1,0
41,10/15/2023,6,HOU,NO,Alan Eck,20,297,29,3,1,-1,-4,7,-133,1,0
42,10/15/2023,6,JAX,IND,Alex Kemp,37,233,25,5,1,-3,-1,17,-121,1,0
43,10/15/2023,6,LAR,ARI,Ron Torbert,26,382,59,6,1,-1,1,17,37,1,0
44,10/15/2023,6,LV,NE,Brad Rogers,21,348,42,6,1,0,-4,4,89,1,0
45,10/15/2023,6,MIA,CAR,Craig Wrolstad,42,424,25,3,1,1,0,21,128,1,0
46,10/15/2023,6,NYJ,PHI,Scott Novak,20,244,68,9,1,-4,4,6,-104,1,0
47,10/16/2022,6,ATL,SF,Carl Cheffers,28,289,40,5,1,-3,0,14,-57,1,0
48,10/16/2022,6,IND,JAX,Jerome Boger,34,434,52,7,1,-1,3,7,55,1,0
49,10/16/2022,6,LAR,CAR,Tra Blake,24,360,49,7,1,0,4,14,157,1,0
50,10/16/2022,6,NYG,BAL,Clay Martin,24,238,25,3,1,-1,-7,4,-168,1,0
51,10/16/2022,6,PHI,DAL,John Hussey,26,268,10,2,1,-3,-8,9,-47,1,0
